mucle_Id,name,description,method,video
11,斜方肌,斜方肌位于项部和背部的皮下，一侧呈三角形，左右两侧相合成斜方形。斜方肌将肩带骨与颅底和椎骨连在一起，起悬吊肩带骨的作用。,"斜方肌：
 1、挺胸收腹
 2、运动至颈部略有紧张感即可
 3、动作缓慢",https://static.ouj.com/hiyd_cms/file/2388cf2eacb34b2d8bb9da0d669204cb.mp4
12,斜方肌,斜方肌位于项部和背部的皮下，一侧呈三角形，左右两侧相合成斜方形。斜方肌将肩带骨与颅底和椎骨连在一起，起悬吊肩带骨的作用。,"斜方肌：
 1、挺胸收腹
 2、运动至颈部略有紧张感即可
 3、动作缓慢",https://static.ouj.com/hiyd_cms/file/2388cf2eacb34b2d8bb9da0d669204cb.mp4
13,斜方肌,斜方肌位于项部和背部的皮下，一侧呈三角形，左右两侧相合成斜方形。斜方肌将肩带骨与颅底和椎骨连在一起，起悬吊肩带骨的作用。,"斜方肌：
 1、挺胸收腹
 2、运动至颈部略有紧张感即可
 3、动作缓慢",https://static.ouj.com/hiyd_cms/file/2388cf2eacb34b2d8bb9da0d669204cb.mp4
14,斜方肌,斜方肌位于项部和背部的皮下，一侧呈三角形，左右两侧相合成斜方形。斜方肌将肩带骨与颅底和椎骨连在一起，起悬吊肩带骨的作用。,"斜方肌：
 1、挺胸收腹
 2、运动至颈部略有紧张感即可
 3、动作缓慢",https://static.ouj.com/hiyd_cms/file/2388cf2eacb34b2d8bb9da0d669204cb.mp4
15,肱三头肌,肱三头肌：系上臂后群之伸肌。起端有3个头：长头起自肩胛骨的盂下粗隆；外侧头和内侧头都起自肱骨的背面，向下，3个头共续于一个腱，止于尺骨鹰嘴。此肌功能为伸前臂，并助内收上臂。受桡神经（颈6～8）支配。手臂背侧的肌肉。覆盖整个肱骨后面。由长头、外侧头和内侧头合成，作用是伸肘。,"肱三头肌：
 1、挺胸收腹，腰背平直
 2、双肘夹住向后，手掌固定不动",https://static.ouj.com/hiyd_cms/file/400a6300e8034509a7bf474e5e55e696.mp4
16,肱三头肌,肱三头肌：系上臂后群之伸肌。起端有3个头：长头起自肩胛骨的盂下粗隆；外侧头和内侧头都起自肱骨的背面，向下，3个头共续于一个腱，止于尺骨鹰嘴。此肌功能为伸前臂，并助内收上臂。受桡神经（颈6～8）支配。手臂背侧的肌肉。覆盖整个肱骨后面。由长头、外侧头和内侧头合成，作用是伸肘。,"肱三头肌：
 1、挺胸收腹，腰背平直
 2、双肘夹住向后，手掌固定不动",https://static.ouj.com/hiyd_cms/file/400a6300e8034509a7bf474e5e55e696.mp4
17,背阔肌,背阔肌位于腰背部和胸部后外侧皮下，为全身最大的阔肌，呈直角三角形，上内侧部被斜方肌遮盖，以腱膜起自下6个胸椎棘突，全部腰椎棘突，髂嵴外侧唇后1/3。,"背阔肌：
1、挺胸收腹，腰背挺直
2、动作速度保持平稳
3、双臂紧贴体侧",https://static.ouj.com/hiyd_cms/file/4ea7f77c54394e419f9180ba8f128ed1.mp4
18,背阔肌,背阔肌位于腰背部和胸部后外侧皮下，为全身最大的阔肌，呈直角三角形，上内侧部被斜方肌遮盖，以腱膜起自下6个胸椎棘突，全部腰椎棘突，髂嵴外侧唇后1/3。,"背阔肌：
1、挺胸收腹，腰背挺直
2、动作速度保持平稳
3、双臂紧贴体侧",https://static.ouj.com/hiyd_cms/file/4ea7f77c54394e419f9180ba8f128ed1.mp4
19,臀部肌群,"臀肌属髂肌后群，分为三层。浅层有臀大肌与阔筋膜张肌，前者略呈四边形，是维持人体直立和后伸髋关节的重要肌。在臀大肌与坐骨结节之间有臀大肌坐骨囊，在臀大肌外下 部的腱膜与大转子之间有臀大肌转子囊。臀大肌与深部肌之间为臀大肌下间隙，此间隙的范围与臀大肌的中、外侧部相当，其中充以脂肪、结缔组织和血管神经。此间隙可沿神经血 管经梨状肌上、下孔与盆内相通，下部内侧与坐骨直肠窝的脂肪组织相连，向下沿坐骨神经至股后区，发生感染时可相互蔓延。臀肌中层由上而下依次是臀中肌、梨状肌、上孖肌、 闭孔内肌、下孖肌和股方肌。深层有臀小肌和闭孔外肌。","臀部肌群：
1、臀部持续紧张
2、勾住脚尖，脚跟着地
3、最高点躯干与大腿在同一直线",https://static.ouj.com/hiyd_cms/file/cc54eadc347e43aca5378625f1795932.mp4
20,腘绳肌,腘绳肌，就是大腿后侧的肌群，包括半腱肌、半膜肌、股二头肌，腘绳肌与强有力的股四头肌相对应。股二头肌长头，半腱肌，半膜肌起于坐骨结节，股二头肌短头起于股骨粗线。股二头肌长头和短头止于胫骨外面于腓骨，半腱肌，半膜肌止于胫骨内侧髁。股二头肌长头，半腱肌，半膜肌收缩动作是髋伸展和膝屈曲，股二头肌短头收缩动作是膝屈曲。它收缩的主要功能就是屈膝和后伸髋关节，是维持膝关节稳定性，尤其是防止胫骨过度前向错动的重要动力性稳定结构，运动员易发生腘绳肌的扭伤、撕裂等形式的损伤。2012年欧洲杯决赛中，意大利队员蒂亚戈·莫塔拉就是因为腘绳肌拉伤不得不受伤离场。,"原地爬行：
1、挺胸收腹，腿部可自然弯曲
2、双手双脚与肩同宽，爬行过程中注意控制爬行方向和距离
3、在最远端时，保持躯干和腿部在同一直线上，手臂伸直垂直于地面",https://static.ouj.com/hiyd_cms/file/2c9cb1db7933424a93c172b176e4abaa.mp4
21,腘绳肌,腘绳肌，就是大腿后侧的肌群，包括半腱肌、半膜肌、股二头肌，腘绳肌与强有力的股四头肌相对应。股二头肌长头，半腱肌，半膜肌起于坐骨结节，股二头肌短头起于股骨粗线。股二头肌长头和短头止于胫骨外面于腓骨，半腱肌，半膜肌止于胫骨内侧髁。股二头肌长头，半腱肌，半膜肌收缩动作是髋伸展和膝屈曲，股二头肌短头收缩动作是膝屈曲。它收缩的主要功能就是屈膝和后伸髋关节，是维持膝关节稳定性，尤其是防止胫骨过度前向错动的重要动力性稳定结构，运动员易发生腘绳肌的扭伤、撕裂等形式的损伤。2012年欧洲杯决赛中，意大利队员蒂亚戈·莫塔拉就是因为腘绳肌拉伤不得不受伤离场。,"原地爬行：
1、挺胸收腹，腿部可自然弯曲
2、双手双脚与肩同宽，爬行过程中注意控制爬行方向和距离
3、在最远端时，保持躯干和腿部在同一直线上，手臂伸直垂直于地面",https://static.ouj.com/hiyd_cms/file/2c9cb1db7933424a93c172b176e4abaa.mp4
22,小腿肌群,小腿，是人体腿部“膝盖以下，脚踝以上”的部分的器官。其外侧骨筋膜鞘的内容有小腿外侧群肌和腓浅神经等。其前骨筋膜鞘的内容有小腿前群肌，包括第3腓骨肌，胫前动、静脉及腓深神经等。,"臀踢跳：
 1、挺胸收腹，腰背平直
 2、保持踢腿速度频率
 3、脚后跟尽量贴近臀部",https://static.ouj.com/hiyd_cms/file/51e4f7f686cd4bccac575c90e055002c.mp4
23,小腿肌群,小腿，是人体腿部“膝盖以下，脚踝以上”的部分的器官。其外侧骨筋膜鞘的内容有小腿外侧群肌和腓浅神经等。其前骨筋膜鞘的内容有小腿前群肌，包括第3腓骨肌，胫前动、静脉及腓深神经等。,"臀踢跳：
 1、挺胸收腹，腰背平直
 2、保持踢腿速度频率
 3、脚后跟尽量贴近臀部",https://static.ouj.com/hiyd_cms/file/51e4f7f686cd4bccac575c90e055002c.mp4
24,小腿肌群,小腿，是人体腿部“膝盖以下，脚踝以上”的部分的器官。其外侧骨筋膜鞘的内容有小腿外侧群肌和腓浅神经等。其前骨筋膜鞘的内容有小腿前群肌，包括第3腓骨肌，胫前动、静脉及腓深神经等。,"臀踢跳：
 1、挺胸收腹，腰背平直
 2、保持踢腿速度频率
 3、脚后跟尽量贴近臀部",https://static.ouj.com/hiyd_cms/file/51e4f7f686cd4bccac575c90e055002c.mp4
25,小腿肌群,小腿，是人体腿部“膝盖以下，脚踝以上”的部分的器官。其外侧骨筋膜鞘的内容有小腿外侧群肌和腓浅神经等。其前骨筋膜鞘的内容有小腿前群肌，包括第3腓骨肌，胫前动、静脉及腓深神经等。,"臀踢跳：
 1、挺胸收腹，腰背平直
 2、保持踢腿速度频率
 3、脚后跟尽量贴近臀部",https://static.ouj.com/hiyd_cms/file/51e4f7f686cd4bccac575c90e055002c.mp4
26,前臂,前臂上有结缔组织、神经组织、肌肉组织。前臂前区皮肤较薄，移动度较大。浅筋膜中尺侧有重要静脉及其属支，以及前臂内侧皮神经；桡侧有头静脉及其属支，以及前臂外侧皮神经；正中神经和尺神经的掌支，均于屈肌支持带近侧浅出深筋膜。,"哑铃负重行走：
1. 选择一个有挑战性的重量，将哑铃放在身体一侧的地上。屈膝下蹲，背部保持挺直，以硬拉的姿势捡起地上的哑铃。然后拿着哑铃，身体保持直立，手臂在身体侧面自然下垂，挺胸收腹，目视前方。这是动作的起始位置。
2. 手握哑铃向前行走，身体保持平衡，负重的手臂保持伸直状态自然下垂，肩膀处在中立位。
3. 一只向前走，直到完成合适的距离，如果需要的话，可以转向。
4. 完成行走后，控制身体缓慢下蹲，将哑铃放回地面。不要直接将哑铃扔到地上。",https://static.ouj.com/hiyd_cms/file/91693b9290fc46438d83359085407d6e.mp4
27,前臂,前臂上有结缔组织、神经组织、肌肉组织。前臂前区皮肤较薄，移动度较大。浅筋膜中尺侧有重要静脉及其属支，以及前臂内侧皮神经；桡侧有头静脉及其属支，以及前臂外侧皮神经；正中神经和尺神经的掌支，均于屈肌支持带近侧浅出深筋膜。,"哑铃负重行走：
1. 选择一个有挑战性的重量，将哑铃放在身体一侧的地上。屈膝下蹲，背部保持挺直，以硬拉的姿势捡起地上的哑铃。然后拿着哑铃，身体保持直立，手臂在身体侧面自然下垂，挺胸收腹，目视前方。这是动作的起始位置。
2. 手握哑铃向前行走，身体保持平衡，负重的手臂保持伸直状态自然下垂，肩膀处在中立位。
3. 一只向前走，直到完成合适的距离，如果需要的话，可以转向。
4. 完成行走后，控制身体缓慢下蹲，将哑铃放回地面。不要直接将哑铃扔到地上。",https://static.ouj.com/hiyd_cms/file/91693b9290fc46438d83359085407d6e.mp4
28,前臂,前臂上有结缔组织、神经组织、肌肉组织。前臂前区皮肤较薄，移动度较大。浅筋膜中尺侧有重要静脉及其属支，以及前臂内侧皮神经；桡侧有头静脉及其属支，以及前臂外侧皮神经；正中神经和尺神经的掌支，均于屈肌支持带近侧浅出深筋膜。,"哑铃负重行走：
1. 选择一个有挑战性的重量，将哑铃放在身体一侧的地上。屈膝下蹲，背部保持挺直，以硬拉的姿势捡起地上的哑铃。然后拿着哑铃，身体保持直立，手臂在身体侧面自然下垂，挺胸收腹，目视前方。这是动作的起始位置。
2. 手握哑铃向前行走，身体保持平衡，负重的手臂保持伸直状态自然下垂，肩膀处在中立位。
3. 一只向前走，直到完成合适的距离，如果需要的话，可以转向。
4. 完成行走后，控制身体缓慢下蹲，将哑铃放回地面。不要直接将哑铃扔到地上。",https://static.ouj.com/hiyd_cms/file/91693b9290fc46438d83359085407d6e.mp4
29,前臂,前臂上有结缔组织、神经组织、肌肉组织。前臂前区皮肤较薄，移动度较大。浅筋膜中尺侧有重要静脉及其属支，以及前臂内侧皮神经；桡侧有头静脉及其属支，以及前臂外侧皮神经；正中神经和尺神经的掌支，均于屈肌支持带近侧浅出深筋膜。,"哑铃负重行走：
1. 选择一个有挑战性的重量，将哑铃放在身体一侧的地上。屈膝下蹲，背部保持挺直，以硬拉的姿势捡起地上的哑铃。然后拿着哑铃，身体保持直立，手臂在身体侧面自然下垂，挺胸收腹，目视前方。这是动作的起始位置。
2. 手握哑铃向前行走，身体保持平衡，负重的手臂保持伸直状态自然下垂，肩膀处在中立位。
3. 一只向前走，直到完成合适的距离，如果需要的话，可以转向。
4. 完成行走后，控制身体缓慢下蹲，将哑铃放回地面。不要直接将哑铃扔到地上。",https://static.ouj.com/hiyd_cms/file/91693b9290fc46438d83359085407d6e.mp4
30,下背部肌肉,下背部主要是竖脊肌构成，大圆肌和小圆肌的加强可以让肩膀更稳定。,"胸椎稳定运动：
1、挺胸收腹，保持腰背挺直
2、三点支撑保持平衡
3、左臂动作充分到位",https://static.ouj.com/hiyd_cms/file/709938840882466aad00f797aa172a28.mp4
31,胸大肌,"胸大肌在胸廓前上部浅层。
起端：即锁骨部(锁骨内侧半)、胸肋部(胸骨和上位5～6肋软骨)和腹部(腹直肌鞘的前壁)。
止点：肱骨大结节嵴(锁骨部和腹部肌束上下交叉)。
肌腹呈扇形，向外上集中呈“U”形扁腱止于大结节嵴(结节间沟外侧唇)。","标准俯卧撑： 要做到俯卧撑的一个完美起始姿势，身体必须保持从肩膀到脚踝成一条直线，双臂应该放在胸部位置，两手相距略宽于肩膀。这样可以确保每个动作都能更有效锻炼肱三头肌。 做俯卧撑时，应该用2到3秒时间来充分下降身体，最终胸部距离地面应该是2到3厘米距离左右；然后，要马上用力撑起，回到起始位置。 如果做不到一个完整的俯卧撑，也可以膝盖着地。这也是当正式的俯卧撑已经无法完成，而又想继续锻炼时可以选择的方法。 动作要领：
1、挺胸收腹，躯干与腿部保持一条直线
2、手臂自然伸直垂直于地面
3、双手与肩同宽，始终保持腰背挺直，控制肘部紧贴身体两侧",https://static.ouj.com/hiyd_cms/file/b904002850f04f75b6e73e8717abb75c.mp4
32,股四头肌,股四头肌是人体最大的一组肌肉，由股直肌、股中间肌、股内侧肌、股外侧肌组成，是维持膝关节稳定、行走和奔跑的肌肉之一。其功能为股直肌在收缩时能够屈髖关节，股四头肌向下移行的髌韧带收缩，可以伸膝关节。,"徒手深蹲：
1.两脚开立，比肩稍窄。向前方躬身，膝盖不要弯。
2.向前躬身，上体与膝盖正直。直到上身与地面平行。眼睛正视前方。
3.下背部肌肉收缩用力，脊柱前挺，上拉。还原过程腰要绷紧，不要弯曲腰部。
动作要领：
1、收紧腹部，臀部紧张
2、腰背平直
3、脚尖与膝盖保持同一方向，膝盖不要超过脚尖
4、大腿与地面保持平行",https://static.ouj.com/hiyd_cms/file/ad1602623c7240ffaa7ad28cc51e4d03.mp4
33,股四头肌,股四头肌是人体最大的一组肌肉，由股直肌、股中间肌、股内侧肌、股外侧肌组成，是维持膝关节稳定、行走和奔跑的肌肉之一。其功能为股直肌在收缩时能够屈髖关节，股四头肌向下移行的髌韧带收缩，可以伸膝关节。,"徒手深蹲：
1.两脚开立，比肩稍窄。向前方躬身，膝盖不要弯。
2.向前躬身，上体与膝盖正直。直到上身与地面平行。眼睛正视前方。
3.下背部肌肉收缩用力，脊柱前挺，上拉。还原过程腰要绷紧，不要弯曲腰部。
动作要领：
1、收紧腹部，臀部紧张
2、腰背平直
3、脚尖与膝盖保持同一方向，膝盖不要超过脚尖
4、大腿与地面保持平行",https://static.ouj.com/hiyd_cms/file/ad1602623c7240ffaa7ad28cc51e4d03.mp4
34,腹肌,腹肌是人体结缔组织组成中的重要部分，包括腹直肌、腹外斜肌，腹内斜肌和腹横肌。当它们收缩时，可以使躯干弯曲及旋转，并可以防止骨盆前倾。腹部肌肉对于腰椎的活动和稳定性也有相当重要的作用，还可以控制骨盆与脊柱的活动。软弱无力的腹肌可能导致骨盆前倾和腰椎生理弯曲增加，并增加腰背痛的几率。,"卷腹：
首先是你的准备姿势，平躺在地面时膝盖最好弯曲呈90°，脚面是着地的，背部不要歪斜；要进行动作时可以将双手放在耳旁、或是抱在胸前进行辅助，如果想双手抱头，注意手臂不要发力；在腹部发力之前，将背部稍向上拱起，这样可以伸展你的腹部肌肉，为后续的发力做准备。
之后收缩你的腹肌，带动上背部离开地面；在发力时，最需要注意的是脖子不要向上发力，也就是不要弯曲你的勃颈。这会对你的颈椎带来极大的负担；在上背部完全离开地面后便开始做返程动作，尽量在身体下行时也保持对身体的掌控力，而非利用重力和惯性来动作。
动作要领：
1、运动中保持下巴与颈部夹角不变
2、踮起脚尖
3、腹部持续紧张",https://static.ouj.com/hiyd_cms/file/79fe92ce8f974b70ad4d42529072863a.mp4
35,肱二头肌,"肱二头肌位于上臂前侧，整肌呈梭形。肱二头肌有长、短二头，故名。肱二头肌属于骨骼肌三大肌群中的四肢肌。
 长头起于肩胛骨盂上粗隆，短头起于肩胛骨喙突.长，短二头于肱骨中部汇合为肌腹，下行至肱骨下端，集成肌腱止于桡骨粗隆和前臂筋腱膜。","哑铃弯举：
 1. 身体直立，双手各持一只哑铃，双臂在身体两侧自然下垂，掌心相对。抬头挺胸，目视前方。这是动作的起始位置。
 2. 上臂保持固定，收缩肱二头肌，前臂向上弯举，同时呼气。直至肱二头肌完全收缩，哑铃到达肩部高度。弯举的过程中旋转手腕，是掌心最终向后。
 3. 在顶端稍适停留，感受肱二头肌的收缩，然后再将哑铃放回起始位置，同时吸气。
 4. 以上是一次完整动作，重复动作至推荐次数。",https://static.ouj.com/hiyd_cms/file/c95fe3188eff407094e45f51fb40e151.mp4
36,肱二头肌,"肱二头肌位于上臂前侧，整肌呈梭形。肱二头肌有长、短二头，故名。肱二头肌属于骨骼肌三大肌群中的四肢肌。
 长头起于肩胛骨盂上粗隆，短头起于肩胛骨喙突.长，短二头于肱骨中部汇合为肌腹，下行至肱骨下端，集成肌腱止于桡骨粗隆和前臂筋腱膜。","哑铃弯举：
 1. 身体直立，双手各持一只哑铃，双臂在身体两侧自然下垂，掌心相对。抬头挺胸，目视前方。这是动作的起始位置。
 2. 上臂保持固定，收缩肱二头肌，前臂向上弯举，同时呼气。直至肱二头肌完全收缩，哑铃到达肩部高度。弯举的过程中旋转手腕，是掌心最终向后。
 3. 在顶端稍适停留，感受肱二头肌的收缩，然后再将哑铃放回起始位置，同时吸气。
 4. 以上是一次完整动作，重复动作至推荐次数。",https://static.ouj.com/hiyd_cms/file/c95fe3188eff407094e45f51fb40e151.mp4
